gene_id,gene_name,gene_type,hgnc_symbol,entrez_id,logFC,logCPM,F,PValue,FDR
ENSG00000230916,MT-CO1 pseudogene 53,pseudo,MTCO1P53,107075285,-4.361014463916229,0.1743280870488235,45.389623458851084,1.3948467719023867e-9,3.378876820256341e-5
ENSG00000273259,NA,NA,NA,NA,3.5720605428625554,-0.5262275813779094,30.552036722308475,3.0348117322575533e-7,0.003186127069812664
ENSG00000225972,MT-ND1 pseudogene 23,pseudo,MTND1P23,100887749,-4.588640744824703,4.24586438176778,29.87467195091337,3.945831080514362e-7,0.003186127069812664
ENSG00000135253,kielin cysteine rich BMP regulator,protein-coding,KCP,375616,1.3143013425824666,-0.21616788440531798,24.4180881647361,3.4794191990275192e-6,0.021071362669310655
ENSG00000229344,MT-CO2 pseudogene 12,pseudo,MTCO2P12,107075310,3.3008313219020478,4.524024977418494,19.957521464569012,2.2566626853362353e-5,0.10933079377916993
ENSG00000225217,NA,NA,NA,NA,-2.153812736171586,1.4060235074858833,18.268939022403604,4.6897980688290634e-5,0.18934278069885874
ENSG00000134668,SPOC domain containing 1,protein-coding,SPOCD1,90853,1.1305691710332721,1.4918686678151496,17.420028801889764,6.810643158602564e-5,0.21337509929810014
ENSG00000202474,"RNA, 5S ribosomal pseudogene 283",pseudo,RNA5SP283,100873536,1.142132798383681,1.3017287280802183,17.342908850450787,7.046733794521141e-5,0.21337509929810014
ENSG00000158055,grainyhead like transcription factor 3,protein-coding,GRHL3,57822,1.7279693256411346,0.5867530021823508,16.584059239376458,9.870505300849452e-5,0.24949756447525157
ENSG00000133048,chitinase 3 like 1,protein-coding,CHI3L1,1116,2.3066825272662186,7.136715588527807,16.006867404124353,1.278071270445307e-4,0.24949756447525157
ENSG00000247287,NA,NA,NA,NA,1.0395792244311486,2.4013434092209507,15.95690026239152,1.3070939346113296e-4,0.24949756447525157
ENSG00000251993,"RNA, 5S ribosomal pseudogene 227",pseudo,RNA5SP227,100873485,1.6773045775572997,-0.7354520404888486,15.579387956558074,1.5494522078390331e-4,0.24949756447525157
ENSG00000087074,protein phosphatase 1 regulatory subunit 15A,protein-coding,PPP1R15A,23645,-0.9672312148112888,5.489417568715307,15.551670183531165,1.5689736711174907e-4,0.24949756447525157
ENSG00000257604,NA,NA,NA,NA,1.8707273222020093,-1.6517881270526307,15.482751524734468,1.618615837003456e-4,0.24949756447525157
ENSG00000173110,heat shock protein family A (Hsp70) member 6,protein-coding,HSPA6,3310,-3.471996170003887,3.5962223216795564,15.477271615842863,1.6226316561434966e-4,0.24949756447525157
ENSG00000182873,PRKCZ antisense RNA 1,ncRNA,PRKCZ-AS1,100506504,0.926398374615468,3.240776442753821,15.41059933042258,1.6723190989676552e-4,0.24949756447525157
ENSG00000176399,DMRT like family A1,protein-coding,DMRTA1,63951,-0.551133925347472,-0.31488619017381997,15.309163947212525,1.7509323794911148e-4,0.24949756447525157
ENSG00000188886,astacin like metalloendopeptidase,protein-coding,ASTL,431705,-1.380397158115009,-1.3422404932238035,14.993384682689396,2.0208803609838704e-4,0.2628585584811532
ENSG00000235450,NA,NA,NA,NA,0.8003674642084558,-1.6943278428686888,14.949421809674206,2.0617208599495998e-4,0.2628585584811532
ENSG00000133055,myosin binding protein H,protein-coding,MYBPH,4608,1.6043028289460701,0.8545127705811617,14.600750633557666,2.4172334846486176e-4,0.28618224609084053
ENSG00000266677,NA,NA,NA,NA,1.2759439205912682,-0.030557411002101673,14.543884241965285,2.4809392205695386e-4,0.28618224609084053
ENSG00000171631,pyrimidinergic receptor P2Y6,protein-coding,P2RY6,5031,1.456876193401207,0.8581492785950634,14.213366167842656,2.8869915234579934e-4,0.30996747284472753
ENSG00000247081,uncharacterized LOC105369147,ncRNA,LOC105369147,105369147,1.1156304165239346,2.103132059687394,14.091565191117832,3.0533512719401335e-4,0.30996747284472753
ENSG00000128262,"POM121 transmembrane nucleoporin like 9, pseudogene",pseudo,POM121L9P,29774,0.9511003456468301,0.24980636231061357,14.018184248973045,3.1583078563303765e-4,0.30996747284472753
ENSG00000228376,growth arrest specific 2 like 1 pseudogene 2,pseudo,GAS2L1P2,340508,0.8889722026724058,0.7944279352691029,13.885436859039316,3.357708966418639e-4,0.30996747284472753
ENSG00000147174,germ cell nuclear acidic peptidase,protein-coding,GCNA,93953,1.3132861753793728,1.4783242906401535,13.830973755256172,3.4432245544168137e-4,0.30996747284472753
ENSG00000248394,NA,NA,NA,NA,1.195998219106432,0.5359181591418267,13.79483822448475,3.5011969138259855e-4,0.30996747284472753
ENSG00000073756,prostaglandin-endoperoxide synthase 2,protein-coding,PTGS2,5743,1.698026560926967,0.9526909798940779,13.744974459425583,3.5828472752858203e-4,0.30996747284472753
ENSG00000183535,COL18A1 antisense RNA 1,ncRNA,COL18A1-AS1,378832,1.3296166615692955,-2.0624143757318887,13.63101879520257,3.7768853072634497e-4,0.3119154232078284
ENSG00000249755,NA,NA,NA,NA,1.1164195475342937,-0.22940287250446095,13.582423990166417,3.8628891579569236e-4,0.3119154232078284
ENSG00000243813,zinc finger protein 426 pseudogene,pseudo,LOC100419755,100419755,1.348071824229612,-0.7593703319598355,13.438365951451399,4.129886287918036e-4,0.31283773747771904
ENSG00000196136,serpin family A member 3,protein-coding,SERPINA3,12,3.0841228501560423,0.6434089167116602,13.436952060200115,4.132598909877398e-4,0.31283773747771904
ENSG00000271806,NA,NA,NA,NA,1.0380947127020148,-0.01921683204190712,13.25501832915008,4.497413859999948e-4,0.3301374343776931
ENSG00000254893,NA,NA,NA,NA,1.1795788678023202,-0.2438987413523388,13.158891649739822,4.703397714693484e-4,0.33510325364922044
ENSG00000234969,AARSD1 pseudogene 1,pseudo,AARSD1P1,117981788,0.9398446205468467,0.012202057469514771,12.82446532751155,5.49891340948431e-4,0.37072425325067315
ENSG00000207497,NA,NA,NA,NA,1.5188482593966457,-0.7579979348479612,12.820381159581268,5.509442336948577e-4,0.37072425325067315
ENSG00000253857,NA,NA,NA,NA,1.1643962335935378,-1.9982084275464425,12.615174103347716,6.066112225844938e-4,0.39235591017370247
ENSG00000064300,nerve growth factor receptor,protein-coding,NGFR,4804,-1.7355220635502862,3.134196269812737,12.551650771648832,6.249934045934713e-4,0.39235591017370247
ENSG00000180071,ankyrin repeat domain 18A,protein-coding,ANKRD18A,253650,1.0215425342289375,5.775734144568714,12.529011267309167,6.31682649305416e-4,0.39235591017370247
ENSG00000260036,NA,NA,NA,NA,0.8790936216397274,-1.98673937539587,12.291405349135063,7.065030933860843e-4,0.42785827335461263
ENSG00000267278,NA,NA,NA,NA,0.7491458591739205,0.6194864162852041,12.016864808750903,8.044413290299851e-4,0.45581686463264126
ENSG00000271811,NA,NA,NA,NA,1.1114496451043103,1.2132821438108874,12.007629918179482,8.079691933209109e-4,0.45581686463264126
ENSG00000249626,NA,NA,NA,NA,0.635693788095559,-0.2977960483303835,12.004626193614602,8.091200949142822e-4,0.45581686463264126
ENSG00000218189,NA,NA,NA,NA,0.7913397097985704,-1.136348097425815,11.839923900051506,8.748862623990339e-4,0.46044229985922025
ENSG00000222009,BTB domain containing 19,protein-coding,BTBD19,149478,0.6980221183622577,2.1504294632330874,11.80096235505137,8.912347474431781e-4,0.46044229985922025
ENSG00000259592,NA,NA,NA,NA,0.9435267809962138,-0.04962420796033428,11.697995107825262,9.359743201086266e-4,0.46044229985922025
ENSG00000258536,NA,NA,NA,NA,1.2180424749126628,-1.6706471708476538,11.682091117734453,9.430884423260022e-4,0.46044229985922025
ENSG00000149573,myelin protein zero like 2,protein-coding,MPZL2,10205,1.2117809562753792,0.1622222677724339,11.651659162224068,9.568570439279679e-4,0.46044229985922025
ENSG00000237636,ankyrin repeat domain 26 pseudogene 3,pseudo,ANKRD26P3,100101938,1.119460354867532,1.0826860994383962,11.562554809983265,9.983761257245064e-4,0.46044229985922025
ENSG00000116039,ATPase H+ transporting V1 subunit B1,protein-coding,ATP6V1B1,525,0.7096769405562274,-0.36540065981838477,11.551862115314321,0.0010034818893674292,0.46044229985922025
ENSG00000177688,small ubiquitin like modifier 4,protein-coding,SUMO4,387082,0.9157628935005345,-0.008259115898252959,11.50988944044413,0.0010237856636232427,0.46044229985922025
ENSG00000270640,NA,NA,NA,NA,1.6960992948243188,-1.1452093723215522,11.457919401012507,0.0010495141689414588,0.46044229985922025
ENSG00000102890,engulfment and cell motility 3,protein-coding,ELMO3,79767,0.6218633358795741,3.2939927931355397,11.454289370819792,0.0010513360063122723,0.46044229985922025
ENSG00000232587,eukaryotic translation elongation factor 1 alpha 1 pseudogene 3,pseudo,EEF1A1P3,100421865,0.788426314782639,0.25618776391290815,11.425738220525325,0.001065779483474233,0.46044229985922025
ENSG00000252370,"RNA, 5S ribosomal pseudogene 438",pseudo,RNA5SP438,100873687,1.2872279454822748,-1.6381985655140412,11.394706803934636,0.0010817100574711806,0.46044229985922025
ENSG00000236383,coiled-coil domain containing 200,protein-coding,CCDC200,100874261,0.8389579359516935,2.2053420859913997,11.267358692297872,0.0011497038135615352,0.46044229985922025
ENSG00000253043,"RNA, U7 small nuclear 181 pseudogene",pseudo,RNU7-181P,106479093,1.0960276928429826,-1.5647160723841402,11.137920115200595,0.0012233442726954445,0.46044229985922025
ENSG00000261529,NA,NA,NA,NA,1.3387653028208273,3.9102232671630235,11.127940225567578,0.0012292204885068986,0.46044229985922025
ENSG00000239247,"RNA, 7SL, cytoplasmic 589, pseudogene",pseudo,RN7SL589P,106479438,1.349779873388053,1.1574470627471214,11.109058882281214,0.0012404177688150437,0.46044229985922025
ENSG00000243916,ribosomal protein S2 pseudogene 42,pseudo,RPS2P42,100271247,1.1078671415633567,-0.632852061035927,11.074594765949339,0.0012611284550449176,0.46044229985922025
ENSG00000254066,NA,NA,NA,NA,1.0296990212281134,-0.04893000349593346,11.023071575921831,0.0012927585755267092,0.46044229985922025
ENSG00000271964,NA,NA,NA,NA,0.6429363132542192,-1.2087688316746306,11.006926848042255,0.0013028374700577905,0.46044229985922025
ENSG00000237194,NA,NA,NA,NA,0.9748150261954291,-0.8151951931167165,10.951043292609247,0.0013383555331132845,0.46044229985922025
ENSG00000233579,keratin 8 pseudogene 15,pseudo,KRT8P15,645834,0.9828139390732668,2.388468375689781,10.870035624110907,0.0013916261069541348,0.46044229985922025
ENSG00000175164,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",protein-coding,ABO,28,0.879244662905323,-0.13957140205116256,10.841281571589995,0.0014110572005850974,0.46044229985922025
ENSG00000175505,cardiotrophin like cytokine factor 1,protein-coding,CLCF1,23529,0.8469908592692641,1.957608789121527,10.821361767119548,0.0014246824905920583,0.46044229985922025
ENSG00000184206,golgin A6 family like 4,protein-coding,GOLGA6L4,643707,0.8315187860060361,-1.3448155674352311,10.77787239413242,0.0014549037376889611,0.46044229985922025
ENSG00000243806,ribosomal protein L7 pseudogene 18,pseudo,RPL7P18,100270852,1.2033201092544057,1.1622845284467127,10.715506091760455,0.0014994028988678453,0.46044229985922025
ENSG00000166268,myelin regulatory factor like,protein-coding,MYRFL,196446,0.8688241629927848,0.0980600726489094,10.67964648841647,0.0015256234441301305,0.46044229985922025
ENSG00000250899,NA,NA,NA,NA,1.1118326849684008,0.5864854846790162,10.66683787886078,0.0015351035122568937,0.46044229985922025
